tier,species_key,scientific_name,common_names,current_toxicity,lethal_pairs,confusable_with,diagnostic_characters,REVIEW_name_current,REVIEW_toxicity_agreed,REVIEW_characters_agreed,REVIEW_lookalikes_agreed,REVIEW_notes,REVIEWER,REVIEW_DATE
1,amanita-phalloides,Amanita phalloides,Death Cap,DEADLY,9,Agaricus arvensis; Agaricus campestris; Amanita muscaria; Amanita pantherina; Amanita rubescens; Macrolepiota procera; Russula cyanoxantha; Tricholoma equestre; Volvopluteus gloiocephalus,volva; ring; spore_print_colour; gill_attachment; cap_colour,,,,,,,
1,amanita-virosa,Amanita virosa,Destroying Angel,DEADLY,8,Agaricus arvensis; Agaricus campestris; Amanita muscaria; Amanita pantherina; Amanita rubescens; Calocybe gambosa; Lycoperdon perlatum; Volvopluteus gloiocephalus,volva; ring; spore_print_colour; gill_colour; bruising_reaction,,,,,,,
1,lepiota-brunneoincarnata,Lepiota brunneoincarnata,Deadly Dapperling,DEADLY,5,Agaricus campestris; Chlorophyllum brunneum; Lepiota cristata; Macrolepiota procera; Marasmius oreades,size; cap_surface; spore_print_colour; ring; habitat; gill_colour,,,,,,,
1,clitocybe-rivulosa,Clitocybe rivulosa,Fool's Funnel; Ivory Funnel,DEADLY,4,Calocybe gambosa; Clitopilus prunulus; Marasmius oreades; Paxillus involutus,gill_attachment; spore_print_colour; habitat; cap_surface,,,,,,,
1,cortinarius-rubellus,Cortinarius rubellus,Deadly Webcap,DEADLY,4,Armillaria mellea; Cantharellus cibarius; Cortinarius violaceus; Lactarius deliciosus,spore_print_colour; cortina; gill_type; habitat,,,,,,,
1,galerina-marginata,Galerina marginata,Funeral Bell,DEADLY,4,Armillaria mellea; Hypholoma fasciculare; Kuehneromyces mutabilis; Pholiota squarrosa,spore_print_colour; substrate; ring; stipe_surface,,,,,,,
1,lepiota-subincarnata,Lepiota subincarnata,Fatal Dapperling,DEADLY,3,Lepiota cristata; Macrolepiota procera; Marasmius oreades,size; cap_surface; spore_print_colour; ring; habitat; gill_colour,,,,,,,
1,amanita-pantherina,Amanita pantherina,Panther Cap,SERIOUS,2,Amanita phalloides; Amanita virosa,bruising_reaction; volva; ring; cap_colour; cap_surface,,,,,,,
1,clitocybe-dealbata,Clitocybe dealbata,Ivory Funnel,DEADLY,2,Calocybe gambosa; Marasmius oreades,gill_attachment; gill_spacing; habitat,,,,,,,
1,gyromitra-esculenta,Gyromitra esculenta,False Morel; Turban Fungus,DEADLY,2,Morchella esculenta; Verpa bohemica,cap_surface; interior_structure; season,,,,,,,
